iter	MultiClass
0	1.287243265
1	1.078413469
2	0.9262461376
3	0.7995695355
4	0.6988724308
5	0.6159003879
6	0.5460028542
7	0.4881592937
8	0.4369758487
9	0.3930035411
10	0.3539334134
11	0.3196101733
12	0.2895190939
13	0.2628528966
14	0.2382664511
15	0.2167998113
16	0.1974940659
17	0.1805473562
18	0.1646390127
19	0.1505769916
20	0.1377019865
21	0.1264116631
22	0.1157730665
23	0.1066352581
24	0.09799097586
25	0.09020789721
26	0.08313348321
27	0.07638723209
28	0.07037486286
29	0.06490455432
30	0.06022622887
31	0.05591774854
32	0.05163946732
33	0.04786486104
34	0.04438522234
35	0.04122877791
36	0.03841591141
37	0.03577432917
38	0.03342763226
39	0.03124519494
40	0.02920947139
41	0.02731648374
42	0.02571217901
43	0.02412192711
44	0.02269889194
45	0.02132726335
46	0.02012029736
47	0.01902823881
48	0.01808453811
49	0.01729945502
50	0.01637784658
51	0.0155957486
52	0.01493135266
53	0.01424191351
54	0.01355258057
55	0.01293223203
56	0.01251143293
57	0.01197507975
58	0.01151408972
59	0.01100205262
60	0.01055583449
61	0.0101322404
62	0.00975880204
63	0.009387677832
64	0.009068227254
65	0.008717166188
66	0.00843720611
67	0.008183068401
68	0.007896321085
69	0.007645109906
70	0.00739007214
71	0.007198651269
72	0.006958473033
73	0.006757938607
74	0.006569341486
75	0.006419797184
76	0.006303812963
77	0.006151884997
78	0.00599624989
79	0.005843035993
80	0.005680607188
81	0.00556437888
82	0.005410915018
83	0.005299662031
84	0.005182867065
85	0.005075066073
86	0.004992111744
87	0.004897399013
88	0.004818741047
89	0.004708913447
90	0.004644106911
91	0.004573875283
92	0.004470197965
93	0.004409278408
94	0.004318269299
95	0.004260907701
96	0.004167304494
97	0.004086206327
98	0.004040951177
99	0.003968483171
100	0.00392367228
101	0.003874503268
102	0.003816870623
103	0.003772308991
104	0.003705840356
105	0.003676344724
106	0.003640970459
107	0.003598453585
108	0.00355066403
109	0.003500305723
110	0.003439962707
111	0.003405688361
112	0.00336484508
113	0.003317041337
114	0.003274617793
115	0.003240129745
